0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0.051447373,0.01454183,-0.110836044,0.14863703,-0.00063499005,0.3449107,-0.37022305,0.080088824,-0.19562466,-0.17375548,0.06728507,-0.29766738,0.17128736,-0.12053707,-0.18474951,0.3754042,-0.3161143,-0.08678638,0.041637257,0.03961863,-0.15157206,0.101327844,-0.3885348,-0.010670542,-0.27463898,-0.17468281,0.14522323,-0.19936273,0.13602595,-0.1604735,-0.26768875,0.34220788,-0.3266115,-0.012895541
-0.02639223,-0.089015774,0.042833645,-0.18547997,-0.53638303,-0.4188902,0.41798526,0.06931954,0.3234197,-0.21705474,0.28239784,-0.29686514,0.34908482,0.12528901,-0.13814414,0.51928866,-0.14123413,0.092957206,-0.0461957,-0.17581894,-0.5807761,-0.49293503,0.4149014,0.23642321,0.14714871,-0.3479467,0.094842985,-0.33134323,0.4109807,-0.061654974,-0.2023893,0.44192442,0.029137377,0.07869149
-0.17011671,-0.09187481,-0.10730205,-0.0838905,-0.18585077,0.0081277555,-0.6820912,-0.3030968,-0.368299,0.18293704,0.14666069,0.2512626,0.31995174,-0.014248163,-0.28485766,0.174959,-0.0075308452,0.026855556,-0.051681656,0.0368919,-0.08218661,-0.01393544,-0.7484109,-0.37268066,-0.5257176,0.026461205,0.20864263,0.116201684,0.17496485,0.23002428,-0.29009798,-0.014762681,0.040943462,0.052930128
-0.0985815,-0.14111559,-0.14332874,-0.0008469342,-0.1017267,0.033246264,0.046868622,0.0771685,0.04961626,-0.0726213,-0.01295332,0.21833576,0.09670664,0.41919827,-0.039419077,-0.090995364,-0.02998474,0.047089428,-0.11180758,-0.022519592,-0.108318,0.12122028,0.049000565,-0.014352102,-0.03379784,-0.042594034,-0.056426734,0.27178898,0.059387855,0.30442795,0.048669953,0.013620602,-0.057601545,-0.14071134
0.097417384,0.037318178,-0.033200916,-0.07175883,0.026648175,0.5072816,-0.16068806,-0.12533258,0.24617377,0.15264197,0.25439715,-0.16050702,0.22970143,-0.061995912,-0.08073945,0.15204613,0.16187397,-0.06520507,-0.015400661,0.078976415,0.10109615,0.37996534,-0.2730466,-0.11035168,-0.12724458,0.21599819,0.34277037,-0.042903867,0.2602755,-0.040704563,-0.27137563,0.19870411,0.2802102,-0.028808238
-0.28285736,-0.27835026,-0.30625296,-0.32621244,0.028800042,0.22560306,-0.058721192,-0.27006713,-0.35938624,-0.25608426,-0.00724653,0.08575612,0.0038533357,0.18836814,-0.11524193,-0.10120053,-0.14952788,-0.27343303,-0.250903,-0.3751471,-0.14838482,0.095664695,-0.011285771,-0.24096943,-0.27217147,-0.27487552,-0.11183719,0.02807771,0.042415913,0.3762446,0.14605963,-0.04584934,-0.16898742,-0.26736635
-0.23435731,-0.167086,-0.3229591,-0.3924948,0.069469385,0.13297719,-0.3246266,-0.30707845,-0.25725046,-0.16137108,0.025040545,0.02368675,-0.025280826,0.1625682,-0.08481438,-0.19438913,-0.3846347,-0.25921455,-0.37643114,-0.18796115,-0.0852453,0.20764555,-0.15714149,-0.11033124,-0.334393,-0.270705,-0.11197416,0.07678235,-0.07123492,-0.065010734,-0.00092058326,0.12963371,-0.39876196,-0.10922778
0.11651033,0.17099003,0.39075822,0.013134871,0.24497336,0.1572562,0.23288205,-0.15821646,-0.38286304,0.23369499,0.2874934,-0.48955214,0.5512743,0.43925014,-0.09616691,-0.066887595,0.42714834,0.33657727,0.40757197,-0.023484211,0.21053082,0.044365995,0.36819643,-0.1306468,-0.61344075,0.4816926,0.27434468,-0.64477086,0.5758465,0.36799347,-0.10168159,-0.10026184,0.48187852,0.34578493
-0.23630482,-0.23753887,-0.06406854,-0.16690421,-0.4080766,0.36188146,-0.29250184,-0.2907709,-0.08669536,-0.31725332,-0.5127066,-0.14154246,0.21695253,0.25578249,-0.5934507,-0.071981795,-0.31922188,0.2744723,0.026119597,-0.26337478,-0.2741715,0.34694007,-0.29634354,-0.3570185,-0.04273645,-0.250672,-0.33373502,-0.14103805,0.21555926,0.25344852,-0.6243215,-0.046857454,-0.2373934,0.25932813
-0.22160429,-0.2042785,-0.111821696,-0.4358747,-0.28279173,0.21991953,0.124171495,-0.06690438,-0.16085415,-0.057928443,0.056105867,-0.051514603,-0.04961822,0.1009077,-0.30706,-0.1533428,0.11024191,0.18178953,-0.22378863,-0.3598782,-0.287451,0.1950532,0.19079855,-0.007021049,0.0014388963,0.02392343,-0.028623253,-0.116013244,-0.014154452,0.25078863,-0.2816979,-0.0049979123,0.22584967,0.19856177
