0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
-0.79253924,-0.70771515,-0.119094886,-0.14352903,0.43964916,0.48228294,0.8378655,0.15184468,0.5890913,-0.1587814,-0.15401004,-0.22062999,0.516009,0.48936498,0.79179084,0.068685696,0.55813813,-0.13649568
-0.76873434,-0.6732683,-0.12877667,-0.14250559,0.42479417,0.4864727,0.7719973,0.079421684,0.54458123,-0.10201896,-0.12897025,-0.20018743,0.47431582,0.46958128,0.7987252,0.08634816,0.5934404,-0.123981826
-0.75502515,-0.69127035,-0.14255963,-0.15869094,0.4813341,0.449147,0.79126614,0.1075634,0.53499556,-0.12873557,-0.068738475,-0.18519829,0.47881395,0.44523323,0.7843594,0.08500357,0.5755397,-0.16796748
-0.8133459,-0.7424921,-0.22795273,-0.19926693,0.5333443,0.60358846,0.6190375,0.15772274,0.62966704,-0.013544607,-0.23784932,-0.24517743,0.49949902,0.61173075,0.59738207,0.18800344,0.6768903,-0.044367094
-0.7975249,-0.710013,-0.12287592,-0.07124028,0.5047794,0.48129344,0.8324937,0.10700737,0.55024344,-0.11978554,-0.09305346,-0.1743764,0.49172494,0.4685459,0.7633099,0.1729179,0.57061005,-0.13383591
-0.7978527,-0.70096016,-0.13622752,-0.19287479,0.4681077,0.42528632,0.81487536,0.1362263,0.5770468,-0.1955482,-0.14640072,-0.20731121,0.43724912,0.5272319,0.74641526,0.06469551,0.56901497,-0.11116239
-0.7526568,-0.70946586,-0.12948318,-0.1799859,0.46820962,0.5125952,0.77955097,0.08005812,0.54485506,-0.18656556,-0.20783132,-0.25548935,0.46640167,0.49259657,0.780708,0.13304725,0.59006435,-0.105424665
-0.20821509,-0.2065303,-0.21964191,-0.12898938,0.35776845,-0.38205767,0.13022007,-0.15436351,0.116790056,0.12689313,-0.22556743,-0.23574972,0.39939508,-0.3508754,0.10081567,-0.10653013,0.08704855,0.22075415
-0.63719505,-0.5915264,-0.34662023,0.4354016,0.40703878,-0.5310978,0.40956917,0.25254315,0.9155802,0.17176327,-0.26205012,0.4497688,0.43765432,-0.47401136,0.43472978,0.28037736,0.9424393,0.31013036
1.3380225,1.5511438,0.6312173,-1.0711362,-0.30997327,-0.20225216,-0.054613106,0.7106395,-0.59053683,-1.1137794,0.7473118,-1.13725,-0.30418512,-0.17997904,-0.009528091,0.83712107,-0.6551252,-1.2292478
-0.37533048,-0.28795877,0.06645212,-0.4162867,0.17097831,-0.33401963,1.057786,-0.0037235473,0.6591981,-0.34211504,0.090279534,-0.451027,0.2470274,-0.45167792,1.230514,-0.04793806,0.48893705,-0.33116767
0.18320638,0.26634854,-0.9505366,-0.5096919,0.67982584,0.9081516,0.6028741,-0.6612381,0.28918827,-0.81581414,-0.9317092,-0.50687397,0.6386626,0.97568953,0.57893944,-0.6279099,0.2538576,-0.8521092
-0.38957274,-0.27441612,-0.005304534,-0.57281137,0.7261257,-0.4194762,0.68066686,-0.01757032,0.5245709,-0.068570875,-0.005968175,-0.6280521,0.5884781,-0.4703627,0.57617056,0.059644863,0.5908482,-0.10142501
