species_orig,species_acc,shift
Sambucus racemosa,Sambucus racemosa,9
Sanicula europaea,Sanicula europaea,315
Saxifraga cuneifolia,Saxifraga cuneifolia,-236
Saxifraga rotundifolia,Saxifraga rotundifolia,97
Scilla lilio-hyacinthus,Scilla lilio-hyacinthus,117
Solidago virgaurea,Solidago virgaurea,-30
Sorbus aria,Sorbus aria,79
Sorbus aucuparia,Sorbus aucuparia,54
Sorbus torminalis,Sorbus torminalis,-14
Stellaria nemorum,Stellaria nemorum,229
Tamus communis,Dioscorea communis,-166
Teucrium scorodonia,Teucrium scorodonia,74
Tilia platyphyllos,Tilia platyphyllos,48
Trifolium ochroleucon,Trifolium ochroleucon,41
Ulmus glabra,Ulmus glabra,11
Valeriana montana,Valeriana montana,82
Veratrum album,Veratrum album,188
Veronica austriaca,Veronica austriaca,73
Veronica officinalis,Veronica officinalis,55
Viburnum lantana,Viburnum lantana,79
Viburnum opulus,Viburnum opulus,-24
Vicia sepium,Vicia sepium,75
Vincetoxicum hirundinaria,Vincetoxicum hirundinaria,198
Viola biflora,Viola biflora,213
Viola hirta,Viola hirta,189
Viola reichenbachiana,Viola reichenbachiana,157
