"","species_new","trait_ind","emb_ind","phylo_ind"
"164","Acacia johnwoodii",172,244,17447
"165","Acacia jucunda",173,245,17611
"166","Acacia julifera",174,246,17552
"167","Acacia karroo",175,247,17446
"168","Acacia kempeana",176,248,17533
"169","Acacia laccata",177,249,17445
"170","Acacia legnota",178,254,17441
"171","Acacia leiocalyx",179,256,17502
"172","Acacia leiophylla",180,257,17640
"173","Acacia leptocarpa",181,258,17439
"174","Acacia leptoclada",182,259,17438
"175","Acacia leptostachya",183,261,17436
"176","Acacia leucolobia",184,262,17625
"177","Acacia ligulata",185,263,17670
"178","Acacia linearifolia",186,265,17626
"179","Acacia lineata",187,266,17594
"180","Acacia longifolia",188,268,17582
"181","Acacia longispicata",189,269,17434
"182","Acacia longissima",190,270,17529
"183","Acacia lysiphloia",191,274,17549
"184","Acacia mabellae",192,275,17618
"185","Acacia maidenii",193,277,17570
"186","Acacia mangium",194,278,17505
"187","Acacia mearnsii",195,280,17597
"188","Acacia melanoxylon",196,283,17587
"189","Acacia melleodora",197,284,17649
"190","Acacia montana",198,290,17425
"191","Acacia monticola",199,291,17547
"192","Acacia muelleriana",200,292,17598
"193","Acacia multisiliqua",201,293,17677
"194","Acacia murrayana",202,294,17661
"195","Acacia myrmecophila",203,295,17699
"196","Acacia myrtifolia",204,296,17666
"197","Acacia neovernicosa",205,297,17713
"198","Acacia neriifolia",206,298,17639
"199","Acacia neurocarpa",207,300,17526
"200","Acacia nilotica",208,301,18028
"201","Acacia obtusata",209,304,17630
"202","Acacia obtusifolia",210,305,17528
"203","Acacia ophiolithica",211,308,17421
"204","Acacia oraria",212,309,17420
"205","Acacia oshanesii",213,312,17601
"206","Acacia oswaldii",214,313,17565
"207","Acacia papyrocarpa",215,315,17418
"208","Acacia paradoxa",216,316,17417
"209","Acacia parvipinnula",217,318,17606
"210","Acacia pendula",218,319,17577
"211","Acacia pennata",219,320,17416
"212","Acacia penninervis",220,321,17619
"213","Acacia phlebocarpa",221,323,17415
"214","Acacia piligera",222,324,17414
"215","Acacia pinguiculosa",223,325,17413
"216","Acacia pinnata",224,326,17412
"217","Acacia platycarpa",225,327,17655
"218","Acacia plectocarpa",226,328,17553
"219","Acacia podalyriifolia",227,329,17603
"220","Acacia polybotrya",228,331,17410
"221","Acacia polystachya",229,332,17409
"222","Acacia prainii",230,333,17658
"223","Acacia pravifolia",231,334,17673
"224","Acacia pravissima",232,335,17624
