"","species_new","trait_ind","emb_ind","phylo_ind"
"3382","Cardiospermum grandiflorum",3632,6801,26074
"3383","Cardiospermum halicacabum",3633,6802,26073
"3384","Cardopatium corymbosum",3634,6803,3653
"3385","Carduus acanthoides",3636,6804,3576
"3386","Carduus acicularis",3637,6805,3569
"3387","Carduus argentatus",3638,6808,3566
"3388","Carduus bourgaeanus",3639,6809,3565
"3389","Carduus carduelis",3640,6811,3563
"3390","Carduus collinus",3641,6817,3558
"3391","Carduus crispus",3642,6818,3572
"3392","Carduus defloratus",3643,6807,3570
"3393","Carduus hamulosus",3644,6820,3557
"3394","Carduus leptacanthus",3645,6823,3555
"3395","Carduus litigiosus",3646,6824,3554
"3396","Carduus nigrescens",3647,6827,3551
"3397","Carduus nutans",3648,6825,3575
"3398","Carduus nyassanus",3649,6829,3578
"3399","Carduus personata",3650,6830,3571
"3400","Carduus pycnocephalus",3651,6831,3574
"3401","Carduus schimperi",3652,6832,3550
"3402","Carduus seminudus",3653,6833,3549
"3403","Carduus tenuiflorus",3654,6834,3573
"3404","Cardwellia sublimis",3655,6837,29095
"3405","Carex abscondita",3657,6838,34606
"3406","Carex acuta",3658,6840,34649
"3407","Carex acutiformis",3659,6842,34729
"3408","Carex alata",3660,6845,34603
"3409","Carex alba",3661,6846,34602
"3410","Carex albolutescens",3662,6848,34600
"3411","Carex albonigra",3663,6849,34684
"3412","Carex amphibola",3664,6857,34615
"3413","Carex aperta",3665,6858,34592
"3414","Carex appalachica",3666,6860,34591
"3415","Carex appendiculata",3667,6861,34590
"3416","Carex appressa",3668,6862,34589
"3417","Carex appropinquata",3669,6863,34588
"3418","Carex aquatilis",3670,6864,34652
"3419","Carex arcta",3671,6866,34761
"3420","Carex arctata",3672,6867,34720
"3421","Carex arenaria",3673,6868,34779
"3422","Carex atherodes",3674,6874,34581
"3423","Carex athrostachya",3675,6875,34580
"3424","Carex atlantica",3676,6876,34579
"3425","Carex atrata",3677,6877,34689
"3426","Carex atrofusca",3678,6878,34660
"3427","Carex aurea",3679,6880,34710
"3428","Carex austroalpina",3680,6881,34578
"3429","Carex baccans",3681,6883,34677
"3430","Carex baileyi",3682,6885,34576
"3431","Carex baldensis",3683,6887,34800
"3432","Carex bebbii",3684,6889,34574
"3433","Carex bella",3685,6890,34685
"3434","Carex bequaertii",3686,6891,34733
"3435","Carex bicknellii",3687,6892,34573
"3436","Carex bicolor",3688,6893,34711
"3437","Carex bigelowii",3689,6894,34656
"3438","Carex binervis",3690,6897,34740
"3439","Carex blanda",3691,6898,34714
"3440","Carex bohemica",3692,6900,34569
"3441","Carex brachystachys",3693,6906,34565
"3442","Carex breviculmis",3694,6908,34563
"3443","Carex brizoides",3695,6909,34562
"3444","Carex bromoides",3696,6910,34787
"3445","Carex brunnescens",3697,6913,34760
"3446","Carex buekii",3698,6914,34560
"3447","Carex buxbaumii",3699,6915,34682
"3448","Carex canescens",3701,6920,34759
"3449","Carex capillaris",3702,6921,34673
"3450","Carex capitata",3703,6922,34810
"3451","Carex caryophyllea",3704,6924,34731
"3452","Carex cephalophora",3705,6927,34772
"3453","Carex cherokeensis",3706,6929,34672
"3454","Carex chordorrhiza",3707,6931,34785
"3455","Carex colchica",3708,6932,34552
"3456","Carex colensoi",3709,6933,34551
"3457","Carex comosa",3710,6937,34548
"3458","Carex conferta",3711,6941,34768
"3459","Carex conoidea",3712,6945,34610
"3460","Carex crinita",3713,6950,34541
"3461","Carex crus-corvi",3714,6952,34540
"3462","Carex cuprina",3715,6954,34778
"3463","Carex curvula",3716,6956,34799
"3464","Carex cusickii",3717,6957,34537
"3465","Carex davalliana",3718,6959,34536
"3466","Carex debilis",3719,6851,34722
"3467","Carex depauperata",3720,6965,34707
"3468","Carex depressa",3721,6966,34532
"3469","Carex deweyana",3722,6967,34767
"3470","Carex diandra",3723,6968,34783
"3471","Carex digitalis",3724,6970,34617
"3472","Carex digitata",3725,6971,34530
"3473","Carex dioica",3726,6973,34766
"3474","Carex disperma",3727,6975,34790
"3475","Carex distachya",3728,6976,34528
"3476","Carex distans",3729,6977,34742
"3477","Carex disticha",3730,6978,34788
"3478","Carex divisa",3731,6979,34527
"3479","Carex divulsa",3732,6980,34776
"3480","Carex douglasii",3733,6981,34526
"3481","Carex duriuscula",3734,6982,34525
"3482","Carex ebenea",3735,6983,34524
"3483","Carex eburnea",3736,6984,34523
"3484","Carex echinata",3737,6985,34786
"3485","Carex elata",3738,6986,34650
"3486","Carex elongata",3739,6990,34762
"3487","Carex ericetorum",3740,6996,34516
"3488","Carex extensa",3741,6999,34741
"3489","Carex ferruginea",3742,7000,34708
"3490","Carex festucacea",3743,7001,34514
"3491","Carex filifolia",3744,7003,34513
"3492","Carex fimbriata",3745,7005,34511
"3493","Carex firma",3746,7007,34509
"3494","Carex flacca",3747,7008,34706
"3495","Carex flaccosperma",3748,7009,34619
"3496","Carex flava",3749,7010,34735
"3497","Carex foenea",3750,7012,34784
"3498","Carex foetida",3751,7013,34507
"3499","Carex folliculata",3752,7014,34506
"3500","Carex frankii",3753,7015,34505
"3501","Carex frigida",3754,7016,34504
"3502","Carex fritschii",3755,7017,34503
"3503","Carex fuliginosa",3756,7018,34730
"3504","Carex fuscula",3757,7020,34502
"3505","Carex gaudichaudiana",3758,7021,34501
"3506","Carex geophila",3759,7023,34499
"3507","Carex geyeri",3760,7024,34815
"3508","Carex glareosa",3761,7029,34764
"3509","Carex glaucescens",3762,7030,34495
"3510","Carex glaucodea",3763,7031,34620
"3511","Carex globularis",3764,7032,34494
"3512","Carex gracillima",3765,7034,34721
"3513","Carex granularis",3766,7035,34493
"3514","Carex gravida",3767,7036,34492
"3515","Carex grayi",3768,7037,34644
"3516","Carex grisea",3769,7039,34612
"3517","Carex halleriana",3770,7043,34679
"3518","Carex hartmanii",3771,7044,34683
"3519","Carex haydeniana",3772,7046,34489
"3520","Carex heleonastes",3773,7047,34753
"3521","Carex heteroneura",3774,7048,34687
"3522","Carex hirsutella",3775,7049,34488
"3523","Carex hirta",3776,7050,34634
"3524","Carex hispida",3777,7051,34487
"3525","Carex holostoma",3778,7053,34702
"3526","Carex hoodii",3779,7054,34486
"3527","Carex hostiana",3780,7056,34736
"3528","Carex humilis",3781,7057,34484
"3529","Carex hyalinolepis",3782,7058,34483
"3530","Carex hystericina",3783,7059,34640
"3531","Carex illota",3784,7061,34755
"3532","Carex interior",3785,7065,34480
"3533","Carex intumescens",3786,7066,34642
"3534","Carex inversa",3787,7067,34479
"3535","Carex jonesii",3788,7073,34475
"3536","Carex joorii",3789,7074,34621
"3537","Carex karoi",3790,7077,34473
"3538","Carex korshinskyi",3791,7079,34471
"3539","Carex lachenalii",3792,7083,34751
"3540","Carex laevigata",3793,7084,34468
"3541","Carex laevivaginata",3794,7085,34467
"3542","Carex lanceolata",3795,7086,34680
"3543","Carex lasiocarpa",3796,7089,34646
"3544","Carex laxiculmis",3797,7092,34464
"3545","Carex laxiflora",3798,7093,34712
"3546","Carex leavenworthii",3799,7094,34463
"3547","Carex lenticularis",3800,7099,34653
"3548","Carex leporina",3801,7100,34458
"3549","Carex leporinella",3802,7101,34457
"3550","Carex leptalea",3803,7102,34812
"3551","Carex leptonervia",3804,7103,34719
"3552","Carex limosa",3805,7104,34661
"3553","Carex liparocarpos",3806,7106,34456
"3554","Carex livida",3807,7107,34716
"3555","Carex loliacea",3808,7108,34754
"3556","Carex longii",3809,7110,34789
"3557","Carex lucorum",3810,7112,34453
"3558","Carex lupulina",3811,7114,34632
"3559","Carex lurida",3812,7115,34633
"3560","Carex luzulina",3813,7117,34678
"3561","Carex lyngbyei",3814,7118,34450
"3562","Carex mackenziei",3815,7119,34752
"3563","Carex macloviana",3816,7120,34449
"3564","Carex macrolepis",3817,7123,34447
"3565","Carex magellanica",3818,7126,34663
"3566","Carex maritima",3819,7133,34769
"3567","Carex meadii",3820,7136,34439
"3568","Carex melanantha",3821,7138,34699
"3569","Carex melanostachya",3822,7140,34438
"3570","Carex membranacea",3823,7141,34631
"3571","Carex merritt-fernaldii",3824,7142,34437
"3572","Carex michelii",3825,7143,34436
"3573","Carex microglochin",3826,7146,34816
"3574","Carex microptera",3827,7148,34434
"3575","Carex montana",3828,7153,34647
"3576","Carex moorcroftii",3829,7154,34701
"3577","Carex mucronata",3830,7156,34429
"3578","Carex muehlenbergii",3831,7157,34428
"3579","Carex multicostata",3832,7158,34427
"3580","Carex muricata",3833,7159,34774
"3581","Carex nardina",3834,7160,34814
"3582","Carex nebraskensis",3835,7161,34426
"3583","Carex nigra",3836,7019,34654
"3584","Carex normalis",3837,7165,34423
"3585","Carex norvegica",3838,7042,34690
"3586","Carex nova",3839,7167,34698
"3587","Carex obtusata",3840,7168,34808
"3588","Carex occidentalis",3841,7169,34422
"3589","Carex olbiensis",3842,7172,34420
"3590","Carex oligosperma",3843,7174,34643
"3591","Carex orbicularis",3844,7176,34419
"3592","Carex oreophila",3845,7177,34418
"3593","Carex ornithopoda",3846,7178,34417
"3594","Carex pairae",3847,7182,34777
"3595","Carex pallescens",3848,7183,34727
"3596","Carex panicea",3849,7185,34717
"3597","Carex paniculata",3850,7186,34782
"3598","Carex parallela",3851,7187,34413
"3599","Carex parviflora",3852,7188,34692
"3600","Carex pauciflora",3853,7189,34806
"3601","Carex pediformis",3854,7192,34411
"3602","Carex pedunculata",3855,7193,34624
"3603","Carex pellita",3856,7195,34410
"3604","Carex pendula",3857,7197,34732
"3605","Carex pensylvanica",3858,7198,34669
"3606","Carex petasata",3859,7202,34407
"3607","Carex phaeocephala",3860,7206,34404
"3608","Carex phalaroides",3861,7207,34403
"3609","Carex pichinchensis",3862,7208,34402
"3610","Carex pilosa",3863,7211,34400
"3611","Carex pilulifera",3864,7212,34670
"3612","Carex plantaginea",3865,7216,34398
"3613","Carex praecox",3866,7221,34395
"3614","Carex praegracilis",3867,7222,34394
"3615","Carex prasina",3868,7223,34393
"3616","Carex praticola",3869,7224,34392
"3617","Carex projecta",3870,7225,34391
"3618","Carex pseudocyperus",3871,7227,34641
"3619","Carex pseudofoetida",3872,7228,34389
"3620","Carex pulicaris",3873,7229,34794
"3621","Carex pumila",3874,7230,34645
"3622","Carex punctata",3875,7231,34739
"3623","Carex pyrenaica",3876,7234,34386
"3624","Carex radiata",3877,7236,34791
"3625","Carex rariflora",3878,7237,34662
"3626","Carex raynoldsii",3879,7238,34694
"3627","Carex recta",3880,7239,34384
"3628","Carex remota",3881,7241,34780
"3629","Carex retrorsa",3882,7245,34639
"3630","Carex richardsonii",3883,7249,34377
"3631","Carex riparia",3884,7251,34638
"3632","Carex rosea",3885,7252,34376
"3633","Carex rossii",3886,7253,34375
"3634","Carex rostrata",3887,7063,34629
"3635","Carex rotundata",3888,7255,34630
"3636","Carex rupestris",3889,7257,34807
"3637","Carex sartwellii",3890,7262,34370
"3638","Carex saxatilis",3891,7263,34636
"3639","Carex scabrata",3892,7264,34369
"3640","Carex scirpoidea",3893,7265,34726
"3641","Carex scoparia",3894,7267,34781
"3642","Carex scopulorum",3895,7268,34657
"3643","Carex secalina",3896,7269,34367
"3644","Carex sempervirens",3897,7272,34704
"3645","Carex seorsa",3898,7273,34364
"3646","Carex siderosticta",3899,7274,34792
"3647","Carex simulata",3900,7276,34362
"3648","Carex spectabilis",3901,7281,34658
"3649","Carex spicata",3902,7282,34775
"3650","Carex squarrosa",3903,7283,34667
"3651","Carex stenocarpa",3904,7284,34357
"3652","Carex stenophylla",3905,7285,34356
"3653","Carex stipata",3906,7287,34773
"3654","Carex straminiformis",3907,7288,34355
"3655","Carex stricta",3908,7291,34353
"3656","Carex strigosa",3909,7292,34738
"3657","Carex subspathacea",3910,7294,34651
"3658","Carex supina",3911,7296,34351
"3659","Carex sylvatica",3912,7298,34703
"3660","Carex tenax",3913,7301,34348
"3661","Carex tenera",3914,7302,34347
"3662","Carex tereticaulis",3915,7303,34346
"3663","Carex tonsa",3916,7305,34344
"3664","Carex torta",3917,7307,34342
"3665","Carex tribuloides",3918,7308,34341
"3666","Carex trifida",3919,7310,34339
"3667","Carex trinervis",3920,7311,34655
"3668","Carex trisperma",3921,7312,34756
"3669","Carex tristis",3922,7314,34337
"3670","Carex typhina",3923,7317,34334
"3671","Carex umbellata",3924,7318,34333
"3672","Carex umbrosa",3925,7319,34623
"3673","Carex utriculata",3926,7321,34635
"3674","Carex vaginata",3927,7322,34718
"3675","Carex vesicaria",3928,7328,34637
"3676","Carex viridula",3929,7331,34737
"3677","Carex vulpina",3930,7332,34326
"3678","Carex vulpinoidea",3931,7333,34771
"3679","Careya arborea",3932,7339,12161
"3680","Carica papaya",3933,7341,24422
"3681","Cariniana domestica",3935,7342,12078
"3682","Cariniana estrellensis",3936,7343,12079
"3683","Cariniana micrantha",3937,7344,12077
"3684","Carissa bispinosa",3939,7345,10194
"3685","Carissa spinarum",3940,7346,10195
"3686","Carlina acanthifolia",3941,7347,3624
"3687","Carlina acaulis",3942,7348,3623
"3688","Carlina biebersteinii",3943,7349,3620
"3689","Carlina corymbosa",3944,7351,3617
"3690","Carlina involucrata",3945,7356,3613
"3691","Carlina vulgaris",3946,7361,3621
"3692","Carmichaelia arborea",3948,7363,15937
"3693","Carmichaelia odorata",3949,7365,15935
"3694","Carnarvonia araliifolia",3950,7367,29208
"3695","Carnegiea gigantea",3951,7368,12649
"3696","Carpanthea pomeridiana",3952,7372,12939
"3697","Carpesium abrotanoides",3953,7373,1100
"3698","Carpesium cernuum",3954,7374,1096
"3699","Carpesium divaricatum",3955,7375,1099
"3700","Carpha alpina",3956,7379,35466
"3701","Carpinus betulus",3959,7385,20278
"3702","Carpinus caroliniana",3960,7386,20277
"3703","Carpinus cordata",3961,7387,20283
"3704","Carpinus laxiflora",3962,7389,20275
"3705","Carpinus orientalis",3963,7390,20281
"3706","Carpinus tschonoskii",3964,7393,20276
"3707","Carpinus turczaninowii",3965,7394,20280
"3708","Carpinus viminea",3966,7395,20274
"3709","Carpobrotus acinaciformis",3967,7396,12880
"3710","Carpobrotus edulis",3968,7397,12862
"3711","Carpobrotus rossii",3969,7400,12918
"3712","Carpolobia alba",3970,7401,18553
"3713","Carpotroche longifolia",3972,7404,21625
"3714","Carpotroche platyptera",3973,7405,21624
"3715","Carrichtera annua",3974,7407,23689
"3716","Carronia protensa",3975,7409,29997
"3717","Carthamus lanatus",3976,7417,3340
"3718","Carthamus oxyacantha",3977,7420,3330
"3719","Carthamus tenuis",3978,7422,3339
"3720","Cartonema spicatum",3979,7426,35947
"3721","Carum carvi",3980,7429,4444
"3722","Carum caucasicum",3981,7430,4443
"3723","Carum verticillatum",3982,7434,4660
"3724","Carya alba",3984,7435,20395
"3725","Carya aquatica",3985,7436,20393
"3726","Carya cordiformis",3986,7437,20399
"3727","Carya floridana",3987,7438,20394
"3728","Carya glabra",3988,7439,20398
"3729","Carya illinoinensis",3989,7440,20401
"3730","Carya laciniosa",3990,7441,20397
"3731","Carya myristiciformis",3991,7442,20396
"3732","Carya ovata",3992,7443,20400
"3733","Carya pallida",3993,7444,20391
"3734","Carya texana",3994,7445,20392
"3735","Caryocar amygdaliferum",3996,7446,22973
"3736","Caryocar amygdaliforme",3997,7447,22971
"3737","Caryocar brasiliense",3998,7448,22970
"3738","Caryocar costaricense",3999,7449,22969
"3739","Caryocar glabrum",4000,7450,22972
"3740","Caryocar harlingii",4001,7451,22968
"3741","Caryocar pallidum",4002,7452,22967
"3742","Caryodaphnopsis fosteri",4004,7453,37637
"3743","Caryodendron orinocense",4005,7455,22169
"3744","Caryopteris mongholica",4006,7456,6147
"3745","Caryota mitis",4007,7458,36142
"3746","Caryota rumphiana",4008,7459,36141
"3747","Caryota urens",4009,7460,36143
"3748","Cascabela ovata",4010,7461,9788
"3749","Casearia aculeata",4012,7462,21397
"3750","Casearia arborea",4013,7463,21396
"3751","Casearia arguta",4014,7464,21395
"3752","Casearia battiscombei",4015,7465,21394
"3753","Casearia combaymensis",4016,7469,21390
"3754","Casearia commersoniana",4017,7470,21401
"3755","Casearia coriacea",4018,7471,21389
"3756","Casearia corymbosa",4019,7473,21387
"3757","Casearia dallachyi",4020,7474,21386
"3758","Casearia decandra",4021,7475,21385
"3759","Casearia fasciculata",4022,7477,21383
"3760","Casearia gossypiosperma",4023,7479,21381
"3761","Casearia grewiifolia",4024,7480,21380
"3762","Casearia guianensis",4025,7481,21379
"3763","Casearia hirsuta",4026,7482,21378
"3764","Casearia javitensis",4027,7483,21400
"3765","Casearia mariquitensis",4028,7486,21375
"3766","Casearia megacarpa",4029,7487,21374
"3767","Casearia membranacea",4030,7488,21373
"3768","Casearia nigrescens",4031,7491,21370
"3769","Casearia obliqua",4032,7493,21368
"3770","Casearia obovalis",4033,7494,21398
"3771","Casearia pitumba",4034,7495,21367
"3772","Casearia praecox",4035,7496,21366
"3773","Casearia prunifolia",4036,7497,21365
"3774","Casearia sylvestris",4037,7502,21399
"3775","Casearia tacanensis",4038,7503,21360
"3776","Casearia ulmifolia",4039,7506,21357
"3777","Casimirella ampla",4041,7508,11085
"3778","Cassia abbreviata",4044,7509,18212
"3779","Cassia brewsteri",4045,7510,18209
"3780","Cassia fistula",4046,7512,18210
"3781","Cassia marksiana",4047,7516,18211
"3782","Cassia moschata",4049,7518,18206
"3783","Cassia sieberiana",4050,7519,18205
"3784","Cassia sturtii",4051,7520,18204
"3785","Cassine aethiopica",4053,7522,23372
"3786","Cassine australis",4054,7523,23353
"3787","Cassine buchananii",4055,7524,23350
"3788","Cassine matabelica",4056,7526,23354
"3789","Cassine orientalis",4057,7528,23356
"3790","Cassinia aculeata",4059,7530,749
"3791","Cassinia compacta",4060,7531,752
"3792","Cassinia laevis",4061,7532,751
"3793","Cassinia leptocephala",4062,7533,747
"3794","Cassinia quinquefaria",4063,7534,746
"3795","Cassinia subtropica",4064,7535,748
"3796","Cassinia trinerva",4065,7536,750
"3797","Cassinia uncata",4066,7537,745
"3798","Cassiope mertensiana",4067,7538,11231
"3799","Cassiope tetragona",4068,7539,11230
"3800","Cassipourea congensis",4069,7540,21915
"3801","Cassipourea guianensis",4070,7541,21916
"3802","Cassipourea malosana",4071,7542,21914
"3803","Cassipourea peruviana",4072,7544,21912
"3804","Cassytha ciliolata",4074,7546,37758
"3805","Cassytha filiformis",4075,7547,37759
"3806","Cassytha glabella",4076,7549,37756
"3807","Cassytha melantha",4077,7550,37755
"3808","Cassytha pondoensis",4078,7552,37753
"3809","Cassytha pubescens",4079,7553,37752
"3810","Castanea crenata",4080,7555,20575
"3811","Castanea dentata",4081,7556,20573
"3812","Castanea henryi",4082,7557,20577
"3813","Castanea mollissima",4083,7558,20572
"3814","Castanea pumila",4084,7559,20571
"3815","Castanea sativa",4085,7560,20574
"3816","Castanea seguinii",4086,7561,20576
"3817","Castanopsis acuminatissima",4088,7562,20561
"3818","Castanopsis carlesii",4089,7565,20562
"3819","Castanopsis cuspidata",4090,7566,20558
"3820","Castanopsis eyrei",4091,7567,20568
"3821","Castanopsis faberi",4092,7568,20565
"3822","Castanopsis fargesii",4093,7569,20566
"3823","Castanopsis formosana",4094,7570,20557
"3824","Castanopsis indica",4095,7571,20563
"3825","Castanopsis kawakamii",4096,7572,20556
"3826","Castanopsis motleyana",4097,7573,20555
"3827","Castanopsis schefferiana",4098,7574,20554
"3828","Castanopsis sclerophylla",4099,7575,20569
"3829","Castanopsis sieboldii",4100,7576,20567
"3830","Castanopsis tibetana",4101,7577,20570
"3831","Castanopsis tribuloides",4102,7578,20553
"3832","Castanospermum australe",4103,7579,17297
"3833","Castanospora alphandi",4104,7580,25965
"3834","Castela emoryi",4105,7582,25766
"3835","Castilla elastica",4107,7583,19626
"3836","Castilla tunu",4108,7584,19627
"3837","Castilla ulei",4109,7585,19625
"3838","Castilleja angustifolia",4111,7586,6567
"3839","Castilleja applegatei",4112,7587,6555
"3840","Castilleja coccinea",4113,7589,6552
"3841","Castilleja fissifolia",4114,7593,6549
"3842","Castilleja flava",4115,7594,6548
"3843","Castilleja hispida",4116,7595,6547
"3844","Castilleja integra",4117,7597,6545
"3845","Castilleja linariifolia",4118,7599,6566
"3846","Castilleja miniata",4119,7602,6559
"3847","Castilleja nana",4120,7603,6557
"3848","Castilleja occidentalis",4121,7606,6560
"3849","Castilleja pilosa",4122,7610,6564
"3850","Castilleja rhexifolia",4123,7614,6538
"3851","Castilleja sulphurea",4124,7618,6558
"3852","Castilleja tenuis",4125,7619,6570
"3853","Castilleja thompsonii",4126,7620,6535
"3854","Casuarina cristata",4128,7625,20356
"3855","Casuarina cunninghamiana",4129,7626,20355
"3856","Casuarina equisetifolia",4130,7627,20354
"3857","Casuarina glauca",4131,7628,20353
"3858","Casuarina pauper",4132,7629,20357
"3859","Catabrosa aquatica",4133,7630,33452
"3860","Catalpa bignonioides",4134,7631,7298
"3861","Catalpa speciosa",4135,7632,7299
"3862","Catananche caerulea",4136,7634,3046
"3863","Catapodium marinum",4137,7637,33204
"3864","Catapodium rigidum",4138,7638,33203
"3865","Catharanthus roseus",4139,7639,10175
"3866","Cathedra acuminata",4141,7640,15023
"3867","Cathormion umbellatum",4142,7641,17869
"3868","Catolobus pendulus",4143,7642,24049
"3869","Catophractes alexandri",4144,7643,7161
"3870","Catostemma commune",4146,7644,24773
"3871","Catunaregam spinosa",4147,7645,9322
"3872","Caucalis platycarpos",4148,7646,4526
"3873","Caucanthus auriculatus",4149,7647,20971
"3874","Caulophyllum robustum",4150,7651,29964
"3875","Caulophyllum thalictroides",4151,7652,29963
"3876","Caustis flexuosa",4153,7655,35463
"3877","Caustis pentandra",4154,7656,35462
"3878","Caustis recurvata",4155,7657,35461
"3879","Cavanillesia hylogeiton",4156,7659,24769
"3880","Cavanillesia platanifolia",4157,7660,24770
"3881","Cavanillesia umbellata",4158,7661,24768
"3882","Cavendishia bracteata",4159,7663,11255
"3883","Cavendishia callista",4160,7664,11252
"3884","Caylusea hexagyna",4162,7672,24404
"3885","Cayratia clematidea",4164,7675,28542
"3886","Cayratia gracilis",4165,7677,28543
"3887","Cayratia japonica",4166,7678,28539
"3888","Cayratia oligocarpa",4167,7680,28538
"3889","Cayratia trifolia",4168,7682,28540
"3890","Ceanothus americanus",4170,7683,20004
"3891","Ceanothus cordulatus",4171,7685,20006
"3892","Ceanothus fendleri",4172,7686,20003
"3893","Ceanothus greggii",4173,7687,20002
"3894","Ceanothus integerrimus",4174,7688,20001
"3895","Ceanothus microphyllus",4175,7689,20000
"3896","Ceanothus prostratus",4176,7690,20008
"3897","Ceanothus sanguineus",4177,7691,20005
"3898","Ceanothus velutinus",4178,7692,19999
"3899","Cecropia angustifolia",4180,7694,19862
"3900","Cecropia concolor",4181,7696,19860
"3901","Cecropia distachya",4182,7697,19859
"3902","Cecropia engleriana",4183,7698,19858
"3903","Cecropia ficifolia",4184,7699,19865
"3904","Cecropia glaziovii",4185,7701,19856
"3905","Cecropia herthae",4186,7702,19855
"3906","Cecropia insignis",4187,7703,19854
"3907","Cecropia latiloba",4188,7704,19853
"3908","Cecropia membranacea",4189,7705,19852
"3909","Cecropia obtusa",4190,7706,19851
"3910","Cecropia obtusifolia",4191,7707,19867
"3911","Cecropia pachystachya",4192,7708,19850
"3912","Cecropia palmata",4193,7709,19866
"3913","Cecropia peltata",4194,7711,19864
"3914","Cecropia polystachya",4195,7712,19848
"3915","Cecropia putumayonis",4196,7713,19847
"3916","Cecropia schreberiana",4197,7715,19845
"3917","Cecropia sciadophylla",4198,7716,19844
"3918","Cedrela angustifolia",4200,7719,25743
"3919","Cedrela fissilis",4201,7720,25740
"3920","Cedrela montana",4202,7721,25744
"3921","Cedrela odorata",4203,7723,25741
"3922","Cedrela tonduzii",4204,7724,25745
"3923","Cedrelinga cateniformis",4205,7725,17896
"3924","Cedrelopsis grevei",4206,7726,25542
"3925","Cedrus atlantica",4208,7727,38328
"3926","Ceiba aesculifolia",4210,7728,24758
"3927","Ceiba boliviana",4211,7729,24755
"3928","Ceiba chodatii",4212,7730,24754
"3929","Ceiba insignis",4213,7731,24757
"3930","Ceiba pentandra",4214,7732,24759
"3931","Ceiba samauma",4215,7733,24753
"3932","Ceiba speciosa",4216,7734,24756
"3933","Ceiba trischistandra",4217,7735,24752
"3934","Celastrus flagellaris",4219,7736,23415
"3935","Celastrus gemmatus",4220,7737,23412
"3936","Celastrus hindsii",4221,7738,23414
"3937","Celastrus orbiculatus",4222,7741,23413
"3938","Celastrus paniculatus",4223,7742,23417
"3939","Celastrus scandens",4224,7744,23411
"3940","Celastrus subspicatus",4225,7745,23416
"3941","Celmisia alpina",4226,7748,1756
"3942","Celmisia angustifolia",4227,7749,1755
"3943","Celmisia armstrongii",4228,7751,1758
"3944","Celmisia coriacea",4229,7753,1752
"3945","Celmisia discolor",4230,7755,1751
"3946","Celmisia durietzii",4231,7757,1749
"3947","Celmisia glandulosa",4232,7758,1748
"3948","Celmisia gracilenta",4233,7759,1759
"3949","Celmisia graminifolia",4234,7760,1747
"3950","Celmisia haastii",4235,7761,1746
"3951","Celmisia holosericea",4236,7764,1743
"3952","Celmisia incana",4237,7765,1742
"3953","Celmisia laricifolia",4238,7766,1741
"3954","Celmisia lyallii",4239,7768,1739
"3955","Celmisia petriei",4240,7769,1738
"3956","Celmisia ramulosa",4241,7770,1737
"3957","Celmisia sessiliflora",4242,7772,1735
"3958","Celmisia spectabilis",4243,7773,1734
"3959","Celmisia traversii",4244,7774,1733
"3960","Celmisia verbascifolia",4245,7775,1732
"3961","Celmisia viscosa",4246,7777,1730
"3962","Celmisia walkeri",4247,7778,1729
"3963","Celosia schweinfurthiana",4249,7781,14269
"3964","Celosia trigyna",4250,7782,14272
"3965","Celtis adolfi-friderici",4252,7783,19904
"3966","Celtis africana",4253,7784,19903
"3967","Celtis australis",4254,7785,19902
"3968","Celtis biondii",4255,7786,19910
"3969","Celtis conferta",4256,7787,19901
"3970","Celtis gomphophylla",4257,7789,19900
"3971","Celtis iguanaea",4258,7788,19911
"3972","Celtis jessoensis",4259,7793,19897
"3973","Celtis koraiensis",4260,7794,19908
"3974","Celtis laevigata",4261,7795,19905
"3975","Celtis latifolia",4262,7796,19896
"3976","Celtis mildbraedii",4263,7797,19895
"3977","Celtis occidentalis",4264,7798,19906
"3978","Celtis pallida",4265,7799,19894
"3979","Celtis paniculata",4266,7800,19893
"3980","Celtis philippensis",4267,7801,19892
"3981","Celtis schippii",4268,7802,19912
"3982","Celtis sinensis",4269,7803,19909
"3983","Celtis tenuifolia",4270,7804,19891
"3984","Celtis tessmannii",4271,7805,19890
"3985","Celtis tetrandra",4272,7806,19907
"3986","Celtis toka",4273,7807,19889
"3987","Celtis tournefortii",4274,7808,19888
"3988","Celtis zenkeri",4275,7809,19887
"3989","Cenchrus biflorus",4277,7811,31786
"3990","Cenchrus ciliaris",4278,7814,31793
"3991","Cenchrus echinatus",4279,7815,31790
"3992","Cenchrus longispinus",4280,7817,31784
"3993","Cenchrus myosuroides",4281,7818,31789
"3994","Cenchrus pennisetiformis",4282,7820,31782
"3995","Cenchrus setiger",4283,7821,31792
"3996","Cenchrus spinifex",4284,7822,31788
"3997","Cenchrus tribuloides",4285,7823,31781
"3998","Centaurea ammocyanus",4287,7831,3301
"3999","Centaurea aspera",4288,7833,3306
"4000","Centaurea benedicta",4289,7836,3302
"4001","Centaurea besseriana",4290,7837,3253
"4002","Centaurea calcitrapa",4291,7842,3304
"4003","Centaurea cineraria",4292,7844,3282
"4004","Centaurea collina",4293,7845,3310
"4005","Centaurea deusta",4294,7852,3272
"4006","Centaurea dichroantha",4295,7853,3246
"4007","Centaurea diffusa",4296,7854,3259
"4008","Centaurea dimorpha",4297,7855,3245
"4009","Centaurea gabrieljanae",4298,7857,3243
"4010","Centaurea iberica",4299,7864,3303
"4011","Centaurea idaea",4300,7865,3240
